,0
0,DK
1,RUS
2,RSAF
3,RS
4,RER
5,GLO
6,RoW
7,PL
8,CH
9,KR
10,NL
11,RCAM
12,TR
13,BRA
14,EAF
15,ME
16,RSAS
17,ZA
18,CN-HN
19,BR-AC
20,WAF
21,WEU
22,INDO
23,TUR
24,DE
25,FR
26,UCTE
27,JP
28,SEAS
29,OCE
30,BG
31,CZ
32,SAF
33,CEU
34,US
35,Europe without Switzerland
36,PT
37,KOR
38,JAP
39,CN
40,CAN
41,UKR
42,MEX
43,EE
44,CA-SK
45,ES
46,STAN
47,INDIA
48,NAF
49,US-PR
50,USA
51,US only
52,CA-QC
53,BR
54,IN-Northern grid
55,BR-SP
56,SI
57,World
58,RO
59,RNA
60,BR-CE
61,NZ
62,BR-AP
63,APAC
64,LK
65,IT
66,LU
67,RSAM
68,IN-OR
69,RU
70,US-RFC
71,TN
72,MY
73,JM
74,CN-GS
75,IN
76,CHN
77,FI
78,IS
79,HT
80,IN-Southern grid
81,CA-NB
82,BR-PE
83,AE
84,AT
85,AU
86,NO
87,BR-RJ
88,AR
89,PE
90,US-SERC
91,CN-NM
92,CN-JL
93,IE
94,CO
95,LB
96,CA-NS
97,CM
98,CA
99,IN-PY
100,BR-MT
101,CN-FJ
102,NG
103,XK
104,SE
105,TW
106,BR-GO
107,CU
108,GR
109,BA
110,CN-CSG
111,KZ
112,JO
113,LV
114,CA-AB
115,BW
116,CA-ON
117,US-TRE
118,LY
119,MM
120,CA-MB
121,BR-RR
122,CL
123,ID
124,HK
125,UZ
126,LT
"127,""IAI Area, Africa"""
128,BR-Mid-western grid
129,NA
130,BR-BA
131,AL
132,BR-ES
133,VN
134,CN-SC
135,IN-TN
136,TH
137,BO
138,BN
139,CN-GX
140,BE
141,PH
142,SV
143,CY
144,IN-CT
145,BR-PR
146,DO
147,IN-MP
148,CN-HE
149,CA-YK
150,HR
151,IQ
152,IN-RJ
153,NI
154,DZ
155,MX
156,BR-MS
157,US-WECC
158,HU
159,CA-BC
160,CN-YN
161,CN-QH
162,ZM
163,GE
164,North America without Quebec
165,UA
166,BR-PB
167,QA
168,SK
169,EG
"170,""IAI Area, Asia, without China and GCC"""
171,BR-MG
172,MN
173,BR-Southern grid
174,CN-NX
175,RLA
176,MA
177,CN-AH
178,EC
"179,""IAI Area, EU27 & EFTA"""
180,CN-JS
181,IN-UP
182,CN-HB
183,CN-SD
184,BR-SE
185,IR
"186,""IAI Area, Russia & RER w/o EU27 & EFTA"""
187,HN
188,US-ASCC
189,RAF
190,CN-CQ
191,RER w/o RU
192,IL
193,GB
194,CI
195,US-NPCC
196,CN-HL
197,BH
198,CN-SX
199,CA-NT
200,CN-XZ
201,IN-KL
202,SS
203,NP
204,BD
205,ET
206,US-HICC
207,SY
208,CN-XJ
209,CN-LN
210,MK
211,UN-OCEANIA
212,CA-PE
213,CN-TJ
214,BR-PI
215,CN-GD
216,TZ
217,UN-SEASIA
218,IN-DL
219,KG
220,VE
221,Canada without Quebec
222,CR
223,BR-TO
224,WECC
225,CN-BJ
226,CN-HA
227,GH
228,CG
229,CN-HU
230,BJ
231,CN-SH
232,AM
233,BR-SC
234,BR-AM
235,OM
236,SG
237,BR-DF
238,AZ
239,MT
240,BR-MA
241,BR-RN
242,CD
243,US-MRO
244,BR-South-eastern grid
245,IN-WB
246,IN-TR
247,BR-AL
248,CN-GZ
249,BR-PA
250,BR-North-eastern grid
251,IN-Eastern grid
252,KE
253,IN-UT
254,BY
255,AO
256,BR-RS
257,PG
"258,""IAI Area, North America"""
259,GI
260,Europe without Austria
261,CN-JX
262,IN-AS
263,KH
264,BR-RO
265,PY
266,TJ
"267,""IAI Area, Gulf Cooperation Council"""
268,TG
269,SA
270,IN-GJ
271,ENTSO-E
272,GA
273,ER
274,IN-AP
275,CA-NU
"276,""IAI Area, South America"""
277,CN-ZJ
278,CW
279,IN-Western grid
280,RME
281,CA-NF
282,RAS
283,ZW
284,IN-North-eastern grid
285,UY
286,IN-ML
287,KW
288,MU
289,PK
290,PA
291,IN-PB
292,GT
293,NE
"294,""Europe, without Russia and Turkey"""
295,MG
296,IN-JH
297,BR-Northern grid
298,SD
299,MZ
300,CN-SA
301,TT
302,RER w/o DE+NL+RU
303,CN-SGCC
304,SN
305,TM
306,IN-MH
307,YE
308,IN-MN
309,RER w/o CH+DE
310,IN-KA
311,MD
312,IN-HR
313,IN-BR
314,SAS
315,RW
316,KP
317,NORDEL
318,CENTREL
319,IN-GA
320,IN-AR
321,IN-HP
322,IN-NL
323,IN-SK
324,UCTE without Germany
325,IN-JK
326,Europe without Switzerland and Austria
327,
328,CF
329,GW
330,SR
331,BT
332,SZ
333,LR
334,UG
335,SL
336,GM
337,TL
338,ML
339,LS
340,MR
341,LA
342,MW
343,BF
344,GN
345,GY
346,TD
347,VU
348,BI
349,BZ
350,AU-NSW
351,AU-QLD
352,AU-SA
353,AU-TAS
354,AU-VIC
355,AU-WA
356,BR-South-eastern/Mid-western grid
357,CN-CCG
358,CN-ECGC
359,CN-NCGC
360,CN-NECG
361,CN-NWG
362,CN-SWG
363,IN-CH
364,IN-DD
365,IN-DN
366,IN-MZ
367,LI
368,RoE
369,US-CA
370,US-CO
371,US-FL
372,US-IA
373,US-ID
374,US-IL
375,US-IN
376,US-MN
377,US-ND
378,US-NE
379,US-OH
380,US-OR
381,US-SD
382,US-WA
383,US-WI
